33208	3B93J	S	PX domain-containing protein 1
33208	3B93K	T	glutamate reuptake
33208	3B93M	O	Required for protein import into peroxisomes
33208	3B93N	I	dioxygenase activity
33208	3B93P	S	negative regulation of Rho guanyl-nucleotide exchange factor activity
33208	3B93Q	O	complement factor I
33208	3B93R	V	negative regulation of epithelium regeneration
33208	3B93S	C	L-aminoadipate-semialdehyde dehydrogenase activity
33208	3B93T	OP	exopeptidase activity
33208	3B93U	S	N-acetylneuraminic acid phosphatase
33208	3B93V	S	SNARE associated Golgi protein
33208	3B93W	G	glucose-6-phosphate isomerase activity
33208	3B93X	S	family with sequence similarity 188, member A
33208	3B93Y	P	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
33208	3B93Z	PT	Extracellular calcium-sensing receptor-like
33208	3B940	K	H3K27me3 modified histone binding
33208	3B941	A	snoRNA binding
33208	3B942	T	peptidyl-dipeptidase inhibitor activity
33208	3B943	TZ	Adducin 3 (Gamma)
33208	3B944	Z	Microtubule-associated protein
33208	3B945	P	nucleobase-containing compound biosynthetic process
33208	3B946	S	membrane protein family member 5
33208	3B947	T	Nebulin repeat
33208	3B948	T	GTP-Rho binding
33208	3B949	T	belongs to the protein kinase superfamily
33208	3B94A	C	regulation of acid-sensing ion channel activity
33208	3B94B	S	cell cycle associated protein
33208	3B94C	S	hepatocyte growth factor receptor binding
33208	3B94D	C	mitochondrial transport
33208	3B94E	S	Cation channel sperm-associated protein subunit delta
33208	3B94F	A	RNA binding
33208	3B94G	S	RNA splicing
33208	3B94H	OT	protein K63-linked deubiquitination
33208	3B94I	U	positive regulation of TOR signaling
33208	3B94J	T	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein
33208	3B94K	S	structural molecule activity
33208	3B94M	K	DNA-directed 5'-3' RNA polymerase activity
33208	3B94N	K	Achaete-scute family bHLH transcription factor 5
33208	3B94P	U	7S RNA binding
33208	3B94Q	U	Golgi vesicle fusion to target membrane
33208	3B94R	T	neurotransmitter receptor localization to postsynaptic specialization membrane
33208	3B94S	G	galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity
33208	3B94T	A	primary miRNA processing
33208	3B94U	D	Belongs to the cullin family
33208	3B94V	O	Belongs to the SKP1 family
33208	3B94W	S	POC1 centriolar protein
33208	3B94X	A	CCR4-NOT transcription complex subunit
33208	3B94Y	TZ	LIM and cysteine-rich domains
33208	3B94Z	S	Myotubularin related protein 14
33208	3B950	P	mitochondrial magnesium ion transmembrane transport
33208	3B951	A	adenosine deaminase activity
33208	3B952	S	clarin 3
33208	3B953	T	cellular response to calcium ion
33208	3B954	T	neurotransmitter:sodium symporter activity
33208	3B955	L	Belongs to the MCM family
33208	3B956	T	Poly (ADP-ribose) glycohydrolase (PARG)
33208	3B957	S	cysteine-rich secretory protein LCCL
33208	3B958	Q	ATP-binding cassette, subfamily B (MDR TAP), member
33208	3B959	S	PIH1 domain-containing protein
33208	3B95A	O	zinc ion binding
33208	3B95B	L	hydrolase activity
33208	3B95C	S	receptor
33208	3B95D	K	methyltransferase activity
33208	3B95E	T	intraciliary transport
33208	3B95F	Z	pointed-end actin filament capping
33208	3B95G	P	small conductance calcium-activated potassium channel activity
33208	3B95H	K	positive regulation of transcription by RNA polymerase II
33208	3B95I	O	Trypsin-like serine protease
33208	3B95J	I	nutrient reservoir activity
33208	3B95K	T	Rab GTPase binding
33208	3B95M	O	Hsp70 protein
33208	3B95N	S	Leucine rich repeat containing 75A
33208	3B95P	B	Belongs to the histone deacetylase family. HD Type 1 subfamily
33208	3B95Q	C	kynurenine 3-monooxygenase activity
33208	3B95R	O	polypeptide N-acetylgalactosaminyltransferase
33208	3B95S	C	Belongs to the aconitase IPM isomerase family
33208	3B95T	O	myosin regulatory light chain interacting protein
33208	3B95U	O	unfolded protein binding
33208	3B95V	T	double-strand break repair via break-induced replication
33208	3B95W	I	very-long-chain enoyl-CoA reductase activity
33208	3B95X	A	translation activator activity
33208	3B95Y	J	Methyltransferase-like protein 17
33208	3B95Z	K	histone demethylase activity (H3-K9 specific)
33208	3B960	S	
33208	3B961	S	Protein of unknown function (DUF3699)
